STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Haryana,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,2
Himachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,2,0,0,0,0,0,0,0,0
Jammu & Kashmir,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,2,0,0,0
Jharkhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,2,2,0,0,0,6,0,0
Karnataka,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,1,0,2,0
Kerala,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,42,26,16,45,108,59,26,19,24,37,12,3
Madhya Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,2,0,0,1,0,0,0
Maharashtra,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,9,4,8,11,8,9,2,1,1,0,1,2
Manipur,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,1,0,0,0,0,0,1,1
Punjab,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1,8,1,2,0,1,0,0,0,0,0,0
Rajasthan,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,46,54,87,89,109,102,131,107,106,80,102,62
Sikkim,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,11,5,6,102,30,35,25,4,2,14,10,34
Tripura,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,3,0,0,0,0,0,0,0,0,1,4,0
Uttarakhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,1,25,1,4,10,3,2,2,2,7
A&N Islands,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1,0,0,0,0,0,1,0,0,0,0,0
D&N Haveli,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1,0,0,0,1,1,0,0,0,0,1,0
Lakshadweep,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,1,0,0
Puducherry,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0
All India,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1052,2508,1043,1378,2917,1562,1200,1025,845,895,453,141
Andhra Pradesh,TOTAL CRIMES AGAINST WOMEN,16477,18880,18382,18921,20819,21484,24738,24111,25569,27244,28246,28171
Arunachal Pradesh,TOTAL CRIMES AGAINST WOMEN,180,159,139,148,150,168,185,175,164,190,171,201
Assam,TOTAL CRIMES AGAINST WOMEN,4243,5092,5312,5700,6027,6801,6844,8122,9721,11555,11503,13544
Bihar,TOTAL CRIMES AGAINST WOMEN,5356,5743,5900,8091,6019,6740,7548,8662,8803,8471,10231,11229
Chhattisgarh,TOTAL CRIMES AGAINST WOMEN,3989,3538,3336,3763,3599,3757,3775,3962,4002,4176,4219,4228
Goa,TOTAL CRIMES AGAINST WOMEN,83,76,121,132,121,96,80,130,164,140,127,200
Gujarat,TOTAL CRIMES AGAINST WOMEN,5805,5373,5735,6211,6343,7279,8260,8616,8009,8148,8815,9561
Haryana,TOTAL CRIMES AGAINST WOMEN,3393,4385,4170,4276,4161,4617,4645,5142,5312,5562,5491,6002
Himachal Pradesh,TOTAL CRIMES AGAINST WOMEN,890,838,729,823,793,792,1018,979,954,1028,997,912
Jammu & Kashmir,TOTAL CRIMES AGAINST WOMEN,1656,2016,2164,2208,2144,2432,2521,2295,2624,2611,3146,3328
Jharkhand,TOTAL CRIMES AGAINST WOMEN,2229,2490,2488,2490,2544,2979,3317,3183,3021,3087,3132,4536
Karnataka,TOTAL CRIMES AGAINST WOMEN,6002,6170,5834,5423,6057,6084,6569,6891,7852,8807,9594,10366
Kerala,TOTAL CRIMES AGAINST WOMEN,5450,5829,5653,6483,6762,7554,7837,8117,8049,9463,11288,10930
Madhya Pradesh,TOTAL CRIMES AGAINST WOMEN,14549,15260,14547,15203,14529,14321,15370,14908,15827,16468,16599,16832
Maharashtra,TOTAL CRIMES AGAINST WOMEN,12524,11322,11273,12169,13370,14452,14924,15862,15048,15737,15728,16353
Manipur,TOTAL CRIMES AGAINST WOMEN,112,170,137,134,140,171,188,211,194,190,247,304
Meghalaya,TOTAL CRIMES AGAINST WOMEN,66,71,69,113,131,176,172,208,237,261,269,255
Mizoram,TOTAL CRIMES AGAINST WOMEN,126,154,147,91,95,125,151,162,150,170,167,199
Nagaland,TOTAL CRIMES AGAINST WOMEN,30,26,25,30,37,43,32,47,46,41,38,51
Odisha,TOTAL CRIMES AGAINST WOMEN,5357,4779,4946,5239,6249,6825,7304,8303,8120,8501,9433,11988
Punjab,TOTAL CRIMES AGAINST WOMEN,2361,2295,2375,1955,1969,2242,2694,2627,2631,2853,2641,3238
Rajasthan,TOTAL CRIMES AGAINST WOMEN,12175,12049,11812,13127,11657,12934,14270,14491,17316,18182,19888,21106
Sikkim,TOTAL CRIMES AGAINST WOMEN,24,28,37,49,62,47,55,48,41,42,55,68
Tamil Nadu,TOTAL CRIMES AGAINST WOMEN,10111,9798,8888,9332,8648,6489,7811,7220,6051,6708,6940,7192
Tripura,TOTAL CRIMES AGAINST WOMEN,438,536,537,670,840,964,1067,1416,1517,1678,1358,1559
Uttar Pradesh,TOTAL CRIMES AGAINST WOMEN,20227,15647,12840,15485,14875,16375,20993,23569,23254,20169,22639,23569
Uttarakhand,TOTAL CRIMES AGAINST WOMEN,749,870,886,988,786,1038,1097,1151,1188,1074,996,1067
West Bengal,TOTAL CRIMES AGAINST WOMEN,6570,6842,8508,11047,11887,12785,16544,20912,23307,26125,29133,30942
A&N Islands,TOTAL CRIMES AGAINST WOMEN,34,27,22,27,22,36,56,80,92,85,51,49
Chandigarh,TOTAL CRIMES AGAINST WOMEN,150,189,159,188,205,224,230,143,150,141,156,241
D&N Haveli,TOTAL CRIMES AGAINST WOMEN,19,15,13,22,24,32,18,28,20,30,18,16
Daman & Diu,TOTAL CRIMES AGAINST WOMEN,10,8,10,7,10,9,11,15,13,14,11,11
Delhi UT,TOTAL CRIMES AGAINST WOMEN,2291,2216,3282,3677,4351,4544,4804,3938,4251,4518,5234,5959
Lakshadweep,TOTAL CRIMES AGAINST WOMEN,0,2,4,1,0,1,5,4,1,1,0,2
Puducherry,TOTAL CRIMES AGAINST WOMEN,119,141,121,110,127,149,179,129,106,115,89,61
TOTAL Crime against Women,TOTAL CRIMES AGAINST WOMEN,143795,143034,140601,154333,155553,164765,185312,195857,203804,213585,228650,244270
